EmployeeId,Date,Reason
E-00001,2007-12-24,Sickness
E-00001,2008-01-18,Article 188
E-00001,2008-01-25,Parental
E-00001,2008-02-08,Article 188
E-00001,2008-02-13,Loyalty
E-00001,2008-02-25,Parental
E-00001,2008-03-10,Emergency
E-00001,2008-03-12,Emergency
E-00001,2008-04-09,Compassionate
E-00001,2008-04-11,Emergency
E-00001,2008-04-14,Other Special
E-00001,2008-04-25,Paternity
E-00001,2008-04-29,Childcare
E-00001,2008-05-02,Loyalty
E-00001,2008-06-16,Ex-Festività
E-00002,2013-05-24,Study
E-00002,2013-06-03,Compassionate
E-00002,2013-06-26,Parental
E-00002,2013-08-12,Article 188
E-00002,2015-04-09,Article 188
E-00002,2016-01-29,Sickness
E-00002,2016-03-07,SEGRO Paid Paternity
E-00002,2016-05-20,Maternity
E-00002,2016-05-27,Fertility Support
E-00002,2016-06-20,Compassionate
E-00002,2016-07-06,Compassionate
E-00002,2016-09-05,Unpaid
E-00002,2017-01-16,Study
E-00002,2017-04-28,SEGRO Paid Parental
E-00002,2017-10-02,Paternity
E-00002,2017-10-11,Compassionate
E-00002,2018-03-23,Emergency
E-00002,2018-07-23,Dependants
E-00002,2018-08-29,Maternity
E-00002,2018-11-06,Time off in Lieu
E-00002,2018-12-03,Parental
E-00002,2019-02-20,SEGRO Paid Paternity
E-00002,2019-03-19,Childcare
E-00002,2019-05-14,Paternity
E-00002,2019-06-19,Maternity
E-00002,2019-10-07,Paternity
E-00002,2020-03-09,Sickness
E-00002,2020-03-16,Other Special
E-00002,2020-03-30,Parental
E-00002,2020-06-30,Parental
E-00002,2020-07-08,Unpaid
E-00002,2020-07-24,Kit Day
E-00002,2021-01-26,Flexible Personal Leave
E-00002,2021-03-02,Loyalty
E-00002,2021-03-31,SEGRO Paid Paternity
E-00002,2021-06-09,Dependants
E-00002,2021-07-07,Kit Day
E-00002,2021-07-28,Emergency
E-00002,2021-09-23,Kit Day
E-00002,2022-03-15,Study
E-00002,2022-07-21,Emergency
E-00002,2022-11-02,Kit Day
E-00002,2022-11-04,Parental
E-00002,2023-04-26,Loyalty
E-00002,2023-11-03,Compassionate
E-00002,2023-12-29,Unpaid
E-00002,2024-01-16,Parental
E-00002,2024-04-17,Parental
E-00002,2024-04-22,Parental
E-00002,2024-04-26,Article 188
E-00002,2024-08-22,Time off in Lieu
E-00002,2024-08-27,Emergency
E-00002,2024-10-15,Other Special
E-00002,2024-11-20,Paternity
E-00002,2024-12-26,Compassionate
E-00002,2025-01-08,Kit Day
E-00003,1994-01-18,Emergency
E-00003,1994-02-22,Emergency
E-00003,1994-04-15,Fertility Support
E-00003,1994-05-04,Moving Day
E-00003,1994-05-31,Moving Day
E-00003,1994-06-15,Sickness
E-00003,1994-06-27,Unpaid
E-00003,1994-07-06,Compassionate
E-00003,1994-07-18,Moving Day
E-00003,1994-08-09,Other Special
E-00003,1994-09-05,Maternity
E-00003,1994-09-20,Maternity
E-00003,1994-10-20,Emergency
E-00003,1995-01-27,Article 188
E-00003,1995-01-30,SEGRO Paid Parental
E-00003,1995-03-09,Childcare
E-00003,1995-04-24,Compassionate
E-00003,1995-07-17,Moving Day
E-00003,1995-11-13,Other Special
E-00003,1995-11-20,Emergency
E-00003,1995-11-28,Other Special
E-00003,1995-12-13,Moving Day
E-00003,1995-12-29,SEGRO Paid Parental
E-00003,1996-02-02,Compassionate
E-00003,1996-03-27,Emergency
E-00003,1996-04-25,Study
E-00003,1996-06-10,Compassionate
E-00003,1996-07-01,Paternity
E-00003,1996-09-03,Article 188
E-00003,1996-09-20,Moving Day
E-00003,1996-09-24,Dependants
E-00003,1996-11-19,SEGRO Paid Parental
E-00003,1996-12-30,Paternity
E-00003,1997-01-01,Paternity
E-00003,1997-01-13,Flexible Personal Leave
E-00003,1997-01-14,Maternity
E-00003,1997-02-14,Moving Day
E-00003,1997-02-18,Sickness
E-00003,1997-02-20,Kit Day
E-00003,1997-02-28,Fertility Support
E-00003,1997-03-03,Fertility Support
E-00003,1997-03-14,Other Special
E-00003,1997-03-27,Dependants
E-00003,1997-04-11,Unpaid
E-00003,1997-04-22,SEGRO Paid Paternity
E-00003,1997-05-22,Emergency
E-00003,1997-06-05,Parental
E-00003,1997-06-27,Moving Day
E-00003,1997-07-31,Emergency
E-00003,1997-08-05,Compassionate
E-00003,1997-08-07,Compassionate
E-00003,1997-08-19,Loyalty
E-00003,1997-09-08,Fertility Support
E-00003,1997-12-18,Article 188
E-00003,1998-02-20,Emergency
E-00003,1998-03-06,Compassionate
E-00003,1998-03-16,Loyalty
E-00003,1998-04-06,SEGRO Paid Parental
E-00003,1998-04-14,Article 188
E-00003,1998-05-05,Moving Day
E-00003,1998-06-10,Time off in Lieu
E-00003,1998-06-22,Emergency
E-00003,1998-07-02,Emergency
E-00003,1998-09-11,Kit Day
